group,chem,dose,replicate,gene
Drug Therapy,Mitomycin,C,s3,RYR3
Heterocyclic Amine,PhIP,(3,s2,RYR3
Drug Therapy,Cyclophosphamide,(18.75,s1,RYR3
Other,Styrene,oxide,s4,RYR3
Nitro-PAH,6-Nitrochrysene,(50,s1,RYR3
Aromatic Amine,Benzidine,(200,s2,RYR3
PAH,BPDE,(0.125,s3,AVEN
Aromatic Amine,Benzidine,(200,s2,AVEN
Alkylating Agent,MNU,(350,s3,AVEN
Alkylating Agent,ENU,(400,s4,AVEN
PAH,BPDE,(0.125,s3,CHRM5
Alkylating Agent,DMH,(11.6,s3,CHRM5
PAH,BaP,(0.39,s1,CHRM5
Control,DMSO,Control,s1,CHRM5
Nitro-PAH,6-Nitrochrysene,(50,s2,CHRM5
Drug Therapy,Cisplatin,(3.125,s5,CHRM5
Other,AAI,(1.25,s1,KATNBL1
Aromatic Amine,o-Anisidine,(6,s2,KATNBL1
Nitro-PAH,"1,8-DNP",(8,s2,KATNBL1
Alkylating Agent,MNU,(350,s3,KATNBL1
Nitro-PAH,"1,8-DNP",(8,s3,SLC12A6
Radiation,SSR,(1.25,s4,SLC12A6
PAH,DBADE,(0.0313,s3,SLC12A6
PAH,DBADE,(0.109,s5,SLC12A6
Nitro-PAH,2-Nitrofluorene,(10,s1,SLC12A6
Drug Therapy,Cisplatin,(12.5,s1,SLC12A6
Nitro-PAH,"1,8-DNP",(8,s3,GOLGA8A
PAH,DBA,(75,s3,GOLGA8A
PAH,DBPDE,(0.000156,s3,GOLGA8A
PAH,DBADE,(0.109,s6,GOLGA8A
Control,MeOH,Control,s1,GOLGA8A
Nitro-PAH,"1,8-DNP",(8,s1,CTD-2125J1.1
Other,Propylene,oxide,s1,CTD-2125J1.1
Drug Therapy,Camptothecin,(0.0063,s2,CTD-2125J1.1
Other,Furan,(100,s3,GJD2
PAH,BPDE,(0.125,s1,GJD2
Nitro-PAH,6-Nitrochrysene,(0.78,s2,AQR
Control,MeOH,Control,s3,AQR
PAH,DBA,(75,s2,AQR
PAH,DBADE,(0.109,s5,AQR
PAH,DBADE,(0.109,s6,AQR
Aromatic Amine,2-Naphthylamine,(200,s4,AQR
PAH,DBADE,(0.109,s6,AQR
Other,AAI,(1.25,s2,AQR
Nitro-PAH,6-Nitrochrysene,(50,s2,AQR
Alkylating Agent,DMH,(11.6,s2,RP11-323I15.5
PAH,DBADE,(0.109,s5,RP11-323I15.5
Control,MeOH,Control,s3,RP11-323I15.5
Nitro-PAH,6-Nitrochrysene,(0.78,s2,DPH6
PAH,5-Methylchrysene,(1.6,s2,DPH6
Drug Therapy,Camptothecin,(0.0063,s2,DPH6
Heterocyclic Amine,MeIQX,(300,s4,DPH6
Radiation,SSR,(1.25,s4,DPH6
PAH,DBADE,(0.109,s1,DPH6
PAH,5-Methylchrysene,(1.6,s3,DPH6
Alkylating Agent,ENU,(400,s3,DPH6
PAH,DBA,(75,s1,DPH6
Other,Catechol,(5.5,s2,DPH6
Drug Therapy,Mitomycin,C,s1,DPH6-AS1
Control,MeOH,Control,s2,DPH6-AS1
Nitro-PAH,6-Nitrochrysene,(50,s1,DPH6-AS1
Drug Therapy,Cisplatin,(12.5,s3,DPH6-AS1
Alkylating Agent,DMS,(0.078,s2,DPH6-AS1
Drug Therapy,Carboplatin,(5,s2,DPH6-AS1
PAH,DBADE,(0.109,s5,DPH6-AS1
PAH,BPDE,(0.125,s1,DPH6-AS1
PAH,BPDE,(0.125,s1,DPH6-AS1
PAH,5-Methylchrysene,(1.6,s3,DPH6-AS1
Drug Therapy,Semustine,(150,s2,DPH6-AS1
Control,Media,Control,s4,DPH6-AS1
PAH,DBPDE,(0.000625,s3,DPH6-AS1
Aromatic Amine,o-Anisidine,(6,s1,DPH6-AS1
Other,MX,(7,s1,DPH6-AS1
Control,Media,Control,s2,DPH6-AS1
PAH,BaP,(2,s2,DPH6-AS1
Other,Propylene,oxide,s1,RP11-184D12.1
Alkylating Agent,ENU,(400,s1,RP11-184D12.1
Drug Therapy,Temozolomide,(200,s2,RP11-184D12.1
Drug Therapy,Cyclophosphamide,(60,s2,RP11-184D12.1
PAH,DBADE,(0.109,s5,RP11-184D12.1
Nitro-PAH,6-Nitrochrysene,(0.78,s1,RP11-184D12.1
PAH,DBADE,(0.109,s5,RP11-184D12.1
ROS/NOS,Potassium,bromate,s1,RP11-184D12.1
PAH,DBPDE,(0.000625,s3,RP11-184D12.1
ROS/NOS,Potassium,bromate,s4,RP11-184D12.1
PAH,BaP,(0.39,s1,RP11-184D12.1
PAH,DBADE,(0.109,s6,RP11-184D12.1
Aromatic Amine,2-Naphthylamine,(200,s5,RP11-184D12.1
PAH,DBADE,(0.109,s5,RP11-184D12.1
Aromatic Amine,Benzidine,(200,s3,RP11-184D12.1
Other,MX,(2.5,s5,RP11-184D12.1
Aromatic Amine,o-Anisidine,(6,s1,RP11-184D12.1
Alkylating Agent,ENU,(400,s3,RP11-184D12.1
Alkylating Agent,DMH,(11.6,s1,RP11-184D12.1
Drug Therapy,Semustine,(150,s2,RP11-184D12.1
PAH,DBADE,(0.109,s1,C15orf41
PAH,BPDE,(0.125,s1,C15orf41
Other,AAI,(1.25,s3,C15orf41
Drug Therapy,Cyclophosphamide,(18.75,s1,C15orf41
Drug Therapy,Temozolomide,(200,s2,C15orf41
Other,Furan,(100,s3,C15orf41
Aldehydes,Formaldehyde,(120,s3,C15orf41
Drug Therapy,Carboplatin,(5,s1,C15orf41
Aromatic Amine,Benzidine,(200,s3,C15orf41
Nitro-PAH,"1,8-DNP",(8,s1,C15orf41
Other,Catechol,(5.5,s1,C15orf41
Other,MX,(7,s4,C15orf41
Nitro-PAH,6-Nitrochrysene,(50,s1,C15orf41
Radiation,Gamma,irradiation,s2,MEIS2
Nitro-PAH,6-Nitrochrysene,(50,s1,MEIS2
PAH,DBA,(75,s1,MEIS2
PAH,BPDE,(0.125,s1,MEIS2
Alkylating Agent,ENU,(400,s4,MEIS2
Nitro-PAH,"1,8-DNP",(8,s2,MEIS2
Drug Therapy,Temozolomide,(200,s2,MEIS2
Nitro-PAH,1-Nitropyrene,(2.5,s1,MEIS2
PAH,DBADE,(0.109,s6,MEIS2
Other,AAI,(1.25,s3,MEIS2
Nitro-PAH,6-Nitrochrysene,(50,s2,MEIS2
Alkylating Agent,ENU,(400,s3,MEIS2
PAH,5-Methylchrysene,(1.6,s1,RP11-720L8.1
Drug Therapy,Temozolomide,(200,s3,RP11-720L8.1
Alkylating Agent,DMH,(9,s1,RP11-720L8.1
Aromatic Amine,2-Naphthylamine,(200,s3,RP11-720L8.1
Other,Propylene,oxide,s1,RP11-720L8.1
PAH,DBADE,(0.109,s5,RP11-720L8.1
PAH,DBC,(3.5,s1,RP11-720L8.1
PAH,DBC,(3.5,s1,RP11-720L8.1
Heterocyclic Amine,PhIP,(3,s2,RP11-720L8.1
PAH,DBAC,(5,s1,RP11-720L8.1
ROS/NOS,Potassium,bromate,s3,RP11-720L8.1
Alkylating Agent,ENU,(400,s3,RP11-720L8.1
Metal,Cadmium,chloride,s1,RP11-720L8.1
Drug Therapy,Temozolomide,(200,s1,RP11-720L8.1
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-720L8.1
Radiation,SSR,(1.25,s5,TMCO5A
Alkylating Agent,DES,(0.938,s1,TMCO5A
Nitro-PAH,3-NBA,(0.1,s4,RP11-1008C21.1
PAH,DBPDE,(0.000156,s2,RP11-1008C21.1
Metal,Lead,(II),s1,RP11-1008C21.1
Drug Therapy,Cisplatin,(12.5,s1,RP11-1008C21.1
PAH,BPDE,(0.125,s1,RP11-1008C21.1
Alkylating Agent,DMH,(11.6,s3,RP11-1008C21.1
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-1008C21.1
Alkylating Agent,ENU,(400,s4,RP11-1008C21.1
PAH,DBADE,(0.109,s5,RP11-1008C21.1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP11-346D14.1
Other,Glycidamide,(475,s2,RP11-346D14.1
Metal,Potassium,chromate,s2,RP11-346D14.1
Control,NaCl,Control,s1,RP11-346D14.1
PAH,BPDE,(0.125,s3,RP11-346D14.1
Drug Therapy,Cisplatin,(12.5,s2,SPRED1
Alkylating Agent,MMS,(100,s3,SPRED1
Radiation,SSR,(1.25,s5,SPRED1
Aromatic Amine,Benzidine,(900,s1,SPRED1
Nitro-PAH,6-Nitrochrysene,(50,s1,SPRED1
Nitro-PAH,6-Nitrochrysene,(50,s2,SPRED1
Other,Propylene,oxide,s3,SPRED1
Other,Styrene,oxide,s4,SPRED1
Control,DMSO,Control,s1,FAM98B
PAH,DBADE,(0.0313,s2,FAM98B
PAH,DBADE,(0.109,s1,RASGRP1
PAH,BPDE,(0.125,s1,RASGRP1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RASGRP1
PAH,BPDE,(0.125,s1,RASGRP1
Drug Therapy,Carboplatin,(5,s3,RP11-275I4.2
Other,MX,(7,s1,C15orf53
Drug Therapy,Carboplatin,(5,s3,RP11-62C7.2
Alkylating Agent,MNU,(350,s1,RP11-265N7.2
Other,Propylene,oxide,s1,RP11-265N7.2
Alkylating Agent,MMS,(100,s3,RP11-265N7.1
Drug Therapy,Cisplatin,(12.5,s3,RP11-462P6.1
PAH,BPDE,(0.125,s1,RP11-462P6.1
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-462P6.1
Other,Methyleugenol,(1.25,s2,RP11-462P6.1
PAH,DBADE,(0.109,s6,RP11-624L4.2
PAH,BaP,(2,s1,RP11-27M9.1
Heterocyclic Amine,PhIP,(4,s5,RP11-27M9.1
PAH,BaP,(2,s2,RP11-27M9.1
Metal,Lead,(II),s1,THBS1
Drug Therapy,Cisplatin,(3.125,s6,THBS1
PAH,DBADE,(0.0313,s1,FSIP1
Heterocyclic Amine,PhIP,(3,s4,FSIP1
PAH,DBA,(75,s1,FSIP1
PAH,DBPDE,(0.000156,s2,FSIP1
PAH,DBADE,(0.109,s6,FSIP1
PAH,BPDE,(0.125,s1,FSIP1
PAH,DBADE,(0.109,s1,FSIP1
Radiation,SSR,(1.25,s4,GPR176
Metal,Nickel,(II),s2,GPR176
Nitro-PAH,6-Nitrochrysene,(50,s2,GPR176
Drug Therapy,Temozolomide,(200,s2,GPR176
PAH,DBPDE,(0.000156,s3,GPR176
PAH,DBADE,(0.109,s5,GPR176
Heterocyclic Amine,IQ,(450,s2,GPR176
PAH,DBADE,(0.109,s6,GPR176
Nitro-PAH,"1,8-DNP",(0.125,s3,SRP14-AS1
PAH,DBADE,(0.109,s6,SRP14-AS1
PAH,DBADE,(0.109,s5,BUB1B
Other,AAI,(1.25,s3,BUB1B
Aromatic Amine,MOCA,(5,s2,BUB1B
PAH,BaP,(2,s1,BUB1B
PAH,DBP,(0.0313,s1,PAK6
Nitro-PAH,6-Nitrochrysene,(50,s2,PAK6
Control,DMSO,Control,s2,C15orf56
PAH,BPDE,(0.125,s1,PAK6
PAH,BaP,(2,s3,PAK6
Other,MX,(7,s1,PAK6
PAH,DBADE,(0.109,s1,PAK6
PAH,DBADE,(0.109,s6,PLCB2
PAH,DBADE,(0.109,s1,PLCB2
PAH,DBAC,(5,s2,PLCB2
PAH,BPDE,(0.125,s3,C15orf52
Nitro-PAH,3-NBA,(0.1,s2,PHGR1
Drug Therapy,Ellipticine,(0.25,s1,DISP2
Other,Methyleugenol,(1.25,s2,DISP2
Nitro-PAH,2-Nitrofluorene,(10,s1,DISP2
PAH,DBADE,(0.0313,s3,KNSTRN
PAH,DBADE,(0.109,s1,KNSTRN
Drug Therapy,Melphalan,(1.5,s3,IVD
PAH,DBADE,(0.109,s6,IVD
PAH,DBADE,(0.109,s1,BAHD1
Drug Therapy,Temozolomide,(200,s1,BAHD1
Control,Media,Control,s4,C15orf57
PAH,DBADE,(0.109,s5,C15orf57
PAH,DBADE,(0.109,s1,CASC5
PAH,BPDE,(0.125,s1,RAD51
PAH,DBAC,(5,s1,RAD51
PAH,DBADE,(0.109,s1,DNAJC17
Nitrosamine,N-Nitrosopyrrolidine,(50,s1,C15orf62
Alkylating Agent,ENU,(400,s3,C15orf62
Control,DMSO,Control,s1,C15orf62
Aromatic Amine,MOCA,(5,s1,DNAJC17
Nitro-PAH,6-Nitrochrysene,(50,s1,ZFYVE19
Alkylating Agent,DES,(0.938,s2,ZFYVE19
Alkylating Agent,DES,(0.938,s2,PPP1R14D
Aldehydes,Acetaldehyde,(12,s1,PPP1R14D
Alkylating Agent,DMH,(11.6,s1,PPP1R14D
Other,MX,(7,s1,RHOV
Drug Therapy,Cyclophosphamide,(60,s2,VPS18
Aromatic Amine,4-ABP,(300,s2,VPS18
Metal,Cadmium,chloride,s2,RP11-540O11.1
PAH,DBA,(75,s1,DLL4
PAH,5-Methylchrysene,(1.6,s1,DLL4
Nitro-PAH,6-Nitrochrysene,(50,s2,CHAC1
Radiation,SSR,(1.25,s5,CHAC1
Heterocyclic Amine,PhIP,(4,s4,INO80
Alkylating Agent,DMH,(11.6,s2,INO80
Alkylating Agent,DMH,(11.6,s1,INO80
Alkylating Agent,ENU,(400,s4,INO80
PAH,BPDE,(0.125,s3,INO80
Nitrosamine,N-Nitrosopyrrolidine,(50,s1,INO80
Metal,Lead,(II),s1,INO80
Aldehydes,Acetaldehyde,(12,s3,INO80
Alkylating Agent,ENU,(400,s1,INO80
Alkylating Agent,MNU,(350,s3,INO80
PAH,5-Methylchrysene,(1.6,s1,EXD1
PAH,DBADE,(0.109,s5,EXD1
Heterocyclic Amine,PhIP,(4,s4,EXD1
Control,DMSO,Control,s2,CHP1
PAH,DBAC,(5,s1,OIP5-AS1
PAH,5-Methylchrysene,(1.6,s3,OIP5
Nitro-PAH,6-Nitrochrysene,(50,s1,NUSAP1
Nitro-PAH,6-Nitrochrysene,(50,s2,NUSAP1
PAH,DBAC,(5,s1,NUSAP1
Aromatic Amine,4-ABP,(40,s2,NUSAP1
Alkylating Agent,DMH,(11.6,s2,NUSAP1
PAH,BPDE,(0.125,s2,RTF1
Drug Therapy,Cisplatin,(12.5,s3,RTF1
Metal,Sodium,(meta),s5,RTF1
Control,H2O,Control,s2,RTF1
PAH,BPDE,(0.125,s2,RTF1
Other,AAI,(1.25,s2,ITPKA
Nitro-PAH,6-Nitrochrysene,(50,s1,LTK
Drug Therapy,Bleomycin,(0.188,s1,LTK
Radiation,Gamma,irradiation,s2,RPAP1
Aldehydes,Formaldehyde,(85.5,s1,RPAP1
PAH,BPDE,(0.125,s2,TYRO3
Nitro-PAH,"1,8-DNP",(8,s2,TYRO3
PAH,DBADE,(0.109,s1,RP11-380D11.2
Alkylating Agent,DMH,(11.6,s2,MGA
Other,AAI,(1.25,s3,MGA
Control,DMSO,Control,s1,MGA
PAH,DBADE,(0.0313,s2,MAPKBP1
DNA Damage Response Inhibitors,AZD7762,(1.625,s2,MAPKBP1
Nitro-PAH,"1,8-DNP",(8,s1,MAPKBP1
Nitro-PAH,6-Nitrochrysene,(50,s1,MAPKBP1
Nitro-PAH,3-NBA,(0.025,s3,MAPKBP1
PAH,DBA,(75,s2,PLA2G4B
Alkylating Agent,DES,(0.938,s3,PLA2G4B
PAH,BPDE,(0.125,s1,SPTBN5
Nitro-PAH,3-NBA,(0.1,s2,SPTBN5
PAH,DBADE,(0.0313,s3,SPTBN5
PAH,DBADE,(0.0313,s1,EHD4
PAH,BPDE,(0.125,s1,PLA2G4E
PAH,DBADE,(0.0313,s3,PLA2G4E
ROS/NOS,Potassium,bromate,s5,PLA2G4E
Nitro-PAH,"1,8-DNP",(8,s2,PLA2G4E
Drug Therapy,Cyclophosphamide,(18.75,s1,PLA2G4E
Drug Therapy,Cyclophosphamide,(60,s1,PLA2G4E
Heterocyclic Amine,MeIQX,(300,s3,PLA2G4D
Aromatic Amine,o-Anisidine,(6,s2,PLA2G4D
PAH,DBADE,(0.109,s1,PLA2G4D
Alkylating Agent,DMH,(11.6,s1,PLA2G4D
Radiation,SSR,(1.25,s4,PLA2G4D
Alkylating Agent,DES,(0.938,s2,PLA2G4F
Nitro-PAH,6-Nitrochrysene,(0.78,s2,PLA2G4F
Nitro-PAH,6-Nitrochrysene,(50,s2,PLA2G4F
Radiation,Gamma,irradiation,s1,VPS39
Heterocyclic Amine,PhIP,(3,s4,VPS39
Nitro-PAH,"1,6-DNP",(0.09,s2,VPS39
Nitro-PAH,6-Nitrochrysene,(0.78,s2,VPS39
Alkylating Agent,ENU,(400,s3,TMEM87A
Other,"1,4-Benzoquinone",(5,s3,TMEM87A
Radiation,SSR,(1.25,s4,TMEM87A
Alkylating Agent,MMS,(100,s1,TMEM87A
PAH,BPDE,(0.125,s1,GANC
Nitro-PAH,6-Nitrochrysene,(0.78,s5,GANC
Alkylating Agent,ENU,(400,s4,GANC
Nitro-PAH,6-Nitrochrysene,(50,s1,GANC
ROS/NOS,Potassium,bromate,s5,GANC
Nitro-PAH,"1,8-DNP",(8,s3,GANC
Other,Glycidamide,(475,s2,GANC
Alkylating Agent,DMH,(11.6,s1,CAPN3
Nitro-PAH,6-Nitrochrysene,(0.78,s2,CAPN3
PAH,5-Methylchrysene,(1.6,s1,CAPN3
Drug Therapy,Melphalan,(1.5,s3,ZNF106
ROS/NOS,Potassium,bromate,s5,ZNF106
PAH,5-Methylchrysene,(1.6,s2,ZNF106
Alkylating Agent,DMH,(11.6,s2,ZNF106
PAH,DBA,(75,s1,SNAP23
Drug Therapy,Temozolomide,(200,s2,SNAP23
Metal,Cadmium,chloride,s1,SNAP23
PAH,BPDE,(0.125,s3,HAUS2
Aromatic Amine,o-Anisidine,(0.85,s5,STARD9
Heterocyclic Amine,IQ,(450,s2,STARD9
Alkylating Agent,DES,(0.938,s3,STARD9
Nitro-PAH,6-Nitrochrysene,(50,s2,STARD9
Alkylating Agent,ENU,(400,s4,STARD9
Nitro-PAH,3-NBA,(0.1,s3,STARD9
Drug Therapy,Mechlorethamine,(0.3,s3,STARD9
PAH,BPDE,(0.125,s3,CDAN1
Nitro-PAH,2-Nitrofluorene,(40,s3,TTBK2
PAH,DBP,(0.0313,s1,TTBK2
Drug Therapy,Cisplatin,(3.125,s4,TTBK2
Nitro-PAH,"1,8-DNP",(0.125,s1,TTBK2
PAH,DBADE,(0.109,s6,TTBK2
Control,Media,Control,s1,TTBK2
Heterocyclic Amine,PhIP,(3,s1,UBR1
Drug Therapy,Melphalan,(1.5,s1,UBR1
Drug Therapy,Melphalan,(1.5,s1,UBR1
Alkylating Agent,MNNG,(0.75,s2,UBR1
Other,Methyleugenol,(1.25,s2,UBR1
Other,AAI,(1.25,s2,UBR1
Other,Propylene,oxide,s1,UBR1
Other,Propylene,oxide,s3,UBR1
PAH,DBA,(75,s1,UBR1
PAH,DBA,(75,s1,UBR1
Radiation,SSR,(1.25,s4,UBR1
Other,Methyleugenol,(1.25,s2,UBR1
Alkylating Agent,DMH,(11.6,s3,TMEM62
Alkylating Agent,DMH,(11.6,s3,TMEM62
Aromatic Amine,2-Naphthylamine,(400,s2,TMEM62
PAH,BaP,(2,s1,TMEM62
PAH,BaP,(2,s1,TMEM62
Metal,Lead,(II),s2,TMEM62
Nitro-PAH,"1,8-DNP",(8,s1,EPB42
Drug Therapy,Ellipticine,(0.375,s2,EPB42
Drug Therapy,Cisplatin,(12.5,s1,EPB42
Aromatic Amine,Benzidine,(200,s3,TGM5
Alkylating Agent,DMH,(11.6,s3,TGM5
Control,Media,Control,s2,TGM7
ROS/NOS,Peroxynitrite,(30,s2,ADAL
Control,DMSO,Control,s3,ZSCAN29
Alkylating Agent,DMS,(0.078,s1,TUBGCP4
Radiation,SSR,(1.25,s6,TUBGCP4
Control,DMSO,Control,s2,TP53BP1
Metal,Cadmium,chloride,s2,TP53BP1
Other,Propylene,oxide,s1,TP53BP1
Nitro-PAH,6-Nitrochrysene,(12.5,s1,MAP1A
PAH,DBADE,(0.109,s5,PPIP5K1
Radiation,SSR,(1.25,s5,CKMT1B
Radiation,SSR,(1.25,s6,STRC
Alkylating Agent,DES,(0.938,s1,STRC
Other,Sudan,I,s2,STRC
Drug Therapy,Semustine,(700,s3,RNU6-354P
Other,Methyleugenol,(1.25,s3,RNU6-354P
PAH,DBADE,(0.109,s1,RNU6-354P
PAH,BPDE,(0.125,s3,PDIA3
Nitro-PAH,2-Nitrofluorene,(10,s2,PDIA3
Aromatic Amine,Benzidine,(200,s1,PDIA3
Nitro-PAH,6-Nitrochrysene,(50,s2,ELL3
Nitro-PAH,6-Nitrochrysene,(0.78,s2,SERF2
PAH,DBADE,(0.0313,s2,HYPK
Aromatic Amine,Benzidine,(200,s1,MFAP1
PAH,BaP,(2,s1,WDR76
Nitro-PAH,6-Nitrochrysene,(50,s2,WDR76
PAH,DBAC,(5,s1,FRMD5
Other,Propylene,oxide,s3,FRMD5
Metal,Sodium,(meta),s3,FRMD5
Nitro-PAH,"1,8-DNP",(8,s1,FRMD5
Drug Therapy,Semustine,(150,s1,FRMD5
Other,Acrylamide,(9.5,s1,FRMD5
PAH,DBPDE,(0.000625,s1,FRMD5
Alkylating Agent,DES,(0.938,s2,FRMD5
Alkylating Agent,DMH,(11.6,s2,FRMD5
Nitro-PAH,3-NBA,(0.1,s4,FRMD5
Drug Therapy,Temozolomide,(200,s1,FRMD5
PAH,DBADE,(0.109,s1,FRMD5
PAH,BPDE,(0.125,s1,FRMD5
Alkylating Agent,ENU,(400,s4,FRMD5
ROS/NOS,Potassium,bromate,s3,FRMD5
Drug Therapy,Cisplatin,(12.5,s3,CASC4
Nitro-PAH,3-NBA,(0.025,s3,CASC4
Drug Therapy,Ellipticine,(0.625,s1,CASC4
Other,Acrolein,(5,s2,CTDSPL2
PAH,5-Methylchrysene,(1.6,s2,SPG11
Other,MX,(7,s1,SPG11
PAH,BPDE,(0.125,s1,SPG11
Other,Propylene,oxide,s1,SPG11
PAH,DBA,(75,s3,SPG11
Alkylating Agent,DMH,(11.6,s1,SPG11
PAH,BaP,(2,s2,SPG11
PAH,BPDE,(0.125,s1,SPG11
Drug Therapy,Cisplatin,(12.5,s1,PATL2
PAH,DBADE,(0.0313,s2,B2M
Aromatic Amine,2-Naphthylamine,(200,s1,TRIM69
Nitro-PAH,1-Nitropyrene,(1.75,s1,CTD-2008A1.1
PAH,DBADE,(0.109,s1,CTD-2008A1.1
PAH,BPDE,(0.125,s3,CTD-2008A1.1
PAH,DBA,(75,s2,RNU1-119P
Nitro-PAH,6-Nitrochrysene,(50,s1,RNU6-1108P
Alkylating Agent,ENU,(400,s3,C15orf43
Aromatic Amine,Benzidine,(200,s1,C15orf43
Other,MX,(7,s2,C15orf43
Nitro-PAH,6-Nitrochrysene,(0.78,s2,DUOX2
Nitro-PAH,2-Nitrofluorene,(10,s2,DUOX2
PAH,DBADE,(0.109,s6,DUOX2
Radiation,SSR,(1.25,s4,DUOX2
Alkylating Agent,DMH,(11.6,s1,DUOXA2
Radiation,SSR,(1.25,s6,DUOX1
PAH,5-Methylchrysene,(1.6,s3,DUOX1
Control,DMSO,Control,s1,DUOX1
Control,NaCl,Control,s1,DUOX1
PAH,DBADE,(0.109,s6,SHF
PAH,DBADE,(0.0313,s2,SHF
Nitro-PAH,3-NBA,(0.025,s1,SLC28A2
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,SLC28A2
PAH,DBADE,(0.0313,s3,GATM
Alkylating Agent,MMS,(100,s3,SPATA5L1
PAH,DBPDE,(0.000625,s3,SPATA5L1
PAH,DBADE,(0.0313,s1,RNU7-5P
Aromatic Amine,Benzidine,(200,s1,SLC30A4
Nitro-PAH,6-Nitrochrysene,(50,s1,SLC30A4
Nitro-PAH,6-Nitrochrysene,(50,s1,SLC30A4
Nitro-PAH,6-Nitrochrysene,(50,s1,BLOC1S6
PAH,5-Methylchrysene,(1.6,s3,BLOC1S6
Nitro-PAH,6-Nitrochrysene,(50,s2,BLOC1S6
Drug Therapy,Etoposide,(0.0188,s1,BLOC1S6
ROS/NOS,Peroxynitrite,(30,s1,SQRDL
Aromatic Amine,Benzidine,(200,s1,SQRDL
PAH,DBA,(75,s2,SQRDL
ROS/NOS,H2O2,(24.5,s1,SQRDL
PAH,DBC,(1.5,s2,SQRDL
PAH,BPDE,(0.125,s1,SQRDL
Alkylating Agent,ENU,(400,s3,SQRDL
PAH,BPDE,(0.125,s2,SQRDL
Other,AAI,(1.25,s3,SQRDL
Other,Styrene,oxide,s6,SQRDL
PAH,DBADE,(0.0313,s1,SQRDL
PAH,DBADE,(0.109,s6,SQRDL
PAH,DBADE,(0.109,s5,SQRDL
PAH,DBADE,(0.0313,s1,SQRDL
PAH,BPDE,(0.125,s1,RP11-718O11.1
Alkylating Agent,DES,(0.938,s3,RP11-718O11.1
Control,DMSO,Control,s2,RP11-718O11.1
Nitro-PAH,6-Nitrochrysene,(0.78,s5,RP11-718O11.1
PAH,DBA,(75,s3,RP11-718O11.1
Alkylating Agent,DMH,(11.6,s2,RP11-718O11.1
Aromatic Amine,2-Naphthylamine,(200,s5,RP11-718O11.1
Alkylating Agent,MNU,(350,s1,RP11-718O11.1
PAH,DBP,(0.0039,s4,RP11-718O11.1
PAH,BPDE,(0.125,s2,RP11-718O11.1
Alkylating Agent,DMH,(11.6,s3,RP11-718O11.1
PAH,DBPDE,(0.000625,s3,RP11-718O11.1
Aromatic Amine,o-Anisidine,(6,s1,RP11-718O11.1
Control,DMSO,Control,s2,RP11-718O11.1
Other,Glycidamide,(475,s2,RP11-718O11.1
Control,NaCl,Control,s1,RP11-627D16.1
Drug Therapy,Mitomycin,C,s2,RP11-627D16.1
Drug Therapy,Ellipticine,(0.625,s2,RP11-627D16.1
Alkylating Agent,ENU,(400,s3,RP11-627D16.1
Aromatic Amine,2-Naphthylamine,(200,s4,RP11-627D16.1
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-627D16.1
Alkylating Agent,DMH,(11.6,s1,RP11-627D16.1
PAH,DBADE,(0.0313,s2,RP11-627D16.1
PAH,DBADE,(0.0313,s2,SEMA6D
Aromatic Amine,o-Anisidine,(6,s2,SEMA6D
PAH,DBAC,(5,s1,SEMA6D
Nitro-PAH,2-Nitrotoluene,(4.6,s1,SEMA6D
Metal,Cadmium,chloride,s2,SEMA6D
Control,Media,Control,s1,SEMA6D
PAH,DBC,(3.5,s2,SEMA6D
PAH,DBADE,(0.0313,s1,SEMA6D
Heterocyclic Amine,PhIP,(3,s2,SEMA6D
Alkylating Agent,ENU,(400,s1,SEMA6D
PAH,DBADE,(0.0313,s2,SEMA6D
Nitro-PAH,"1,8-DNP",(0.125,s2,SEMA6D
PAH,BPDE,(0.125,s1,SEMA6D
PAH,DBPDE,(0.000625,s2,SEMA6D
Other,Catechol,(5.5,s1,SEMA6D
Alkylating Agent,ENU,(400,s3,SEMA6D
PAH,BPDE,(0.125,s1,SEMA6D
Other,AFB1,(0.25,s1,SEMA6D
Drug Therapy,Ellipticine,(0.375,s2,SEMA6D
PAH,DBADE,(0.109,s5,SEMA6D
Nitro-PAH,6-Nitrochrysene,(50,s2,SEMA6D
Nitro-PAH,6-Nitrochrysene,(0.78,s5,SEMA6D
PAH,DBADE,(0.109,s5,SEMA6D
Radiation,SSR,(1.25,s4,SEMA6D
Other,Acrolein,(5,s1,SEMA6D
ROS/NOS,H2O2,(24.5,s2,SEMA6D
PAH,DBADE,(0.0313,s1,SEMA6D
Heterocyclic Amine,PhIP,(4,s4,SEMA6D
Heterocyclic Amine,PhIP,(4,s5,SEMA6D
Control,MeOH,Control,s3,SEMA6D
Other,AAI,(1.25,s2,SEMA6D
Drug Therapy,Cisplatin,(3.125,s4,SEMA6D
Radiation,Gamma,irradiation,s1,SEMA6D
Aromatic Amine,2-Naphthylamine,(200,s5,SEMA6D
Other,Methyleugenol,(1.25,s1,SEMA6D
